feature_id,feature_description
1,Bồn tắm/Cabin tắm đứng
2,Phòng không hút thuốc
3,Minibar
4,Trà/cà phê trong tất cả các phòng
5,Bàn làm việc
6,Ban công riêng
7,Ban công/Cửa sổ
8,Miễn phí xe đưa đón
9,Chỗ đỗ xe
10,Giáp biển
11,Nước đóng chai miễn phí
12,Lễ tân 24 giờ
13,Máy sấy tóc
14,Quầy bar
15,Bể bơi ngoài trời
16,Tivi
17,Phòng có bồn tắm
18,Wi-Fi miễn phí
19,Điều hòa
20,Nhà hàng
21,Wi-Fi
22,Bể bơi ngoài trời
23,Phòng có bồn tắm
24,Điều hòa
25,Đi tuyến Lan Hạ
26,Lễ tân 24h
27,Wifi miễn phí
28,Miễn phí kayaking
29,Bao gồm tất cả các bữa ăn
30,Nhà hàng
31,Trung tâm thể dục
32,Trung tâm Spa & chăm sóc sức khoẻ
33,Sạc điện thoại
34,Nhìn ra biển
35,Phòng gia đình
36,Có bể bơi ngoài trời
37,Chỗ đỗ xe miễn phí
38,Cửa sổ từ sàn đến trần
39,Khu vực bãi tắm riêng
40,Có bể sục
41,Hồ bơi có tầm nhìn
42,Két an toàn
43,Du thuyền 5 sao
