room_id,hotel_id,room_name,room_price,room_features,size,max_persons,bed_type,view
1,1,Deluxe City View,1550000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",33,2,Giường đôi hoặc giường đơn,thành phố
2,1,Deluxe Ocean,1800000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",33,2,giường đôi hoặc giường đơn,hướng biển
3,1,Executive Suite,2500000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",67,2,Giường đôi,Hướng biển
4,1,Suite Ocean,2300000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",65,2,giường đôi,Thank phố và biển
5,1,Premium King,1950000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",56,2,giường đôi,toàn cảnh thành phố
6,2, Executive ,1600000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",24,2,giường đôi,hướng thành phố
7,2,Deluxe Twin,1500000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",24,2,2 giường đơn,hướng thành phố
8,2,Studio Deluxe ,1700000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",36,3,giường đôi,hướng thành phố
9,2,Deluxe 2 phòng ngủ,3400000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",49,2,giường đôi và giường đơn,hướng thành phố
10,2,Executive 2 phòng ngủ,3700000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",59,4,giường đơn hoặc giường đôi,hướng biển
11,2,Executive 1 phòng ngủ,1900000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",52,2,giường đôi,hướng thành phố
12,2,Premier 2 phòng ngủ,3700000,"Điều hòa, Bồn tắm/Cabin tắm đứng, Máy sấy tóc, Minibar, Tivi, Bàn làm việc, Nước đóng chai miễn phí",59,4,giường đôi và giường đơn,hướng biển
