hotel_id,block_id,data
1,1,"Với tông màu chủ đạo vàng, trắng sử dụng trong thiết kế nội thất phòng được lấy cảm hứng từ màu của loại đá quý – Đá Hổ Phách, khách sạn mang đến nguồn năng lượng tích cực, tưởi mới đồng thời cũng tượng trưng cho sự ấm áp và chân thành"
1,2,"Hệ thống phòng họp và hội nghị được trang bị máy chiếu, âm thanh cùng những trang thiết bị hiện đại"
1,3,Tổ hợp giải trí- sức khoẻ tại khách sạn sẽ làm hài lòng những vị khách khó tính nhất khi sử dụng dịch vụ tại đây
1,4,"Thưởng thức những ly cooktail nhiệt đới đầy màu sắc và  món ăn ngon từ các nền văn hoá ẩm thực phong phú Âu, Á"
2,1,"Sở hữu vị trí trung tâm và tọa lạc ngay gần con đường đi bộ uốn lượn cạnh bờ biển của thành phố trong lành nhất Việt Nam, đây là căn hộ khách sạn hoàn hảo để bạn thỏa sức khám phá địa danh Di sản Thế giới đã được UNESCO công nhận."
2,2,"Tọa lạc ngay tại ví trí trung tâm, Citadines Marina Halong khiến việc khám phá thành phố biển này dễ dàng hơn bao giờ hết khi cảnh quan hàng ngàn năm tuổi đang chờ du khách tới thăm ngay ngoài ngưỡng cửa"
2,3,Citadines Marina Halong mang đến cho bạn sự linh hoạt trong sử dụng dịch vụ với đa dạng các hạng phòng từ studio được trang bị và thiết kế đẹp mắt đến các căn hộ 2 phòng ngủ và 3 phòng ngủ
3,1,"Tại Sea Stars, chúng tôi cung cấp đầy đủ những tiện ích đẳng cấp đạt tiêu chuẩn 5 sao quốc tế, từ spa, bể bơi hay trung tâm chăm sóc sức khỏe, nơi quý khách có thể tận hưởng những phương pháp làm đẹp, tái tạo năng lượng sau một hành trình dài."
3,2,"Đối với những vị khách có gu ẩm thực thời thượng, không gian nhà hàng và các quán bar sang trọng tại Sea Stars với đa dạng phong cách phục vụ, cùng thực đơn đặc sắc, chắc chắn sẽ chiều lòng vị giác của bất kì thượng khách nào ghé qua."
3,3,"Đồng hành cùng bạn trong chuyến hành trình nghỉ dưỡng lý tưởng với hệ thống bể bơi công nghệ cao và câu lạc bộ sức khỏe hiện đại, chúng tôi cam kết mang đến cho bạn những trải nghiệm dịch vụ ấn tượng và đáng nhớ. Hãy đến và tận hưởng kỳ nghỉ trong mơ tại khách sạn Sea Stars Hạ Long"
