ship_id,block_id,type,data
1,1,paragraph,"Du thuyền Heritage Cruises Bình Chuẩn có kiến trúc độc đáo, thiết kế mang đậm nét truyền thống và lịch sử. Với 20 phòng rộng rãi và tất cả các cabin có bồn tắm cạnh cửa kính lớn,có ban công với tầm nhìn toàn cảnh vịnh Lan Hạ. Trên du thuyền nhiều tiện nghi nổi bật mà du thuyền thường không có như phòng tranh, thư viện, gian hàng bán đồ lưu niệm, quầy bar liền kề hồ bơi.."
1,2,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/blog/iv9fjnleft3mnbuo.webp
1,3,paragraph,"Đặc biệt, du thuyền có bể bơi bốn mùa mang lại cảm giác hài lòng cho những du khách đi vào mùa lạnh. Đây chính là điểm thú vị của du thuyền và hoàn toàn phù hợp với những gia đình có trẻ nhỏ. Bên cạnh đó là quầy bar với rất nhiều đồ uống ngon miệng và được trang trí đẹp mắt. Thật tuyệt vời khi bạn vừa nhâm nhi 1 ly cocktail, vừa ngâm mình trong nước ấm.&nbsp;"
1,4,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/blog/1790l9warvgsukpr.webp
1,5,paragraph,"Nhà hàng Tonkin của du thuyền thiết kế theo lối kiến trúc Đông Dương và đậm tính nghệ thuật sẽ phục vụ du khách các bữa ăn tươi ngon trong chuyến đi. Bên cạnh sự nổi trội về phòng nghỉ và tiện ích thì lịch trình tàu cũng rất thú vị. Những điểm tham quan như: làng chài Việt Hải,&nbsp; hang Sáng Tối hay đảo Ba Trái Đào đều rất nổi tiếng và không thể bỏ qua....."
1,6,image,https://minio.fares.vn/mixivivu-dev/tour/du-thuyen-heritage-binh-chuan-cat-ba/blog/fgbux3svpxwcs3f1.webp
2,1,paragraph,"Du thuyền Indochine lần đầu được giới thiệu tới du khách năm 2019 mang đậm phong cách Đông Dương độc đáo. Với 43 cabin tuyệt đẹp, du thuyền Indochine với tông màu bắt mắt, cửa sổ kính cỡ lỡn đem đến cho du khách cảm giác thượng lưu sang trọng và ấm áp cùng tầm nhìn toàn cảnh vịnh Hạ Long. Tiện ích phòng nghỉ cũng được trang bị đầy đủ và luôn được các nhân viên buồng phòng chăm sóc kỹ lưỡng.&nbsp;"
2,2,image,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/blog/rv4jl37cqk8lzsfy.webp
2,3,paragraph,"Du thuyền Indochine được trang bị hai nhà hàng, quầy bar, sundeck rộng rãi và cabin sang trọng. Dịch vụ Massage và bể sục Jacuzzi cũng luôn luôn sẵn sàng mang đến cho khách hàng những phút giây thư thái nhất. "
2,4,image,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/blog/gw5tns7p427qgdb4.webp
2,5,paragraph,"Nhà hàng trên du thuyền Indochine với thiết kế cổ điển phục vụ các món ăn Việt – Âu phù hợp với mọi đối tượng khách hàng, cùng danh sách đồ uống nhập ngoại ngon tuyệt. Các tiện nghi giải trí khác bao gồm phòng gym, spa và sân sundeck với buổi tiệc trà hoàng hôn thú vị."
2,6,image,https://minio.fares.vn/mixivivu-dev/tour/indochine-cruise/blog/znm843nwvvbn0jar.webp
3,1,paragraph,"Du thuyền Le Theatre được hạ thủy năm 2019 bao gồm 21 cabin với phong cách sang trọng.&nbsp; Những chi tiết trong thiết kế vô cùng tinh xảo sẽ đem đến sự hài lòng của mỗi du khách. Khu vực chung của du thuyền như: sảnh chính, nhà hàng, boong tàu đều khá rộng rãi, rất phù hợp cho nhiều đoàn đu khách."
3,2,image,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/blog/6kz6zzkrsv0l9p96.jpg
3,3,paragraph,"Trải nghiệm chèo thuyền Kayak đã bao gồm trong chương trình hoặc tự do bơi lội tại khu vực Ao Ếch thuộc vịnh Lan Hạ. Kết thúc các hoạt động cũng là khoảng thời gian tuyệt vời trong ngày để ngắm hoàng hôn, Quý khách lên tầng thượng nơi có quầy bar và bể vầy xinh đẹp, ngắm cảnh, chụp hình, trò chuyện, làm quen với những người bạn mới, cùng thưởng thức cafe, trà chiều miễn phí."
3,4,image,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/blog/cemuf2qhnewqqzoc.jpg
3,5,paragraph,Nhà hàng Le Opera phục vụ bữa ăn hảo hạng quốc tế cùng với ẩm thực Việt Nam đích thực mang đến trải nghiệm ẩm thực không thể bắt chước.
3,6,image,https://minio.fares.vn/mixivivu-dev/tour/le-theatre-cruises/blog/qkamyt9xqu39g1wh.jpg
4,1,paragraph,"Du thuyền Orchid Trendy nổi bật giữa khung cảnh nên thơ của Vịnh Hạ Long với hình ảnh như đóa hoa đỗ quyên đang nở rộ. Du thuyền bao gồm 20 cabin được thiết kế độc đáo và nét đẹp riêng với màu gỗ đặc trưng. Mỗi phòng nghỉ đều có đầy đủ các thiết bị cao cấp, hiện đại nhưng cũng không làm mất đi vẻ đẹp truyền thống. Ngay từ ban công riêng của từng phòng, du khách có thể ngắm toàn cảnh Hạ Long hùng vĩ tuyệt đẹp.&nbsp;"
4,2,image,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/blog/tlcoh8x8nnycnd5g.jpg
4,3,paragraph,Nhà hàng trên tàu là sự kết hợp hoàn hảo đa dạng giữa ẩm thực Âu- Á
4,4,image,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/blog/w1iyaacj92g6v1k3.jpg
4,5,paragraph,"Lịch trình hấp dẫn của tàu sẽ đưa đến sự trải nghiệm thú vị cho mỗi du khách. Hang Trung Trang, Ao Ếch là hai trong những điểm tham quan đặc biệt của tàu. Du khách cũng có thể tham gia chèo kayak trên làn nước trong xanh của Vịnh Hạ Long."
4,6,image,https://minio.fares.vn/mixivivu-dev/tour/azalea-cruise/blog/9k6of7t6jynb8ub5.jpg
5,1,paragraph,"Du thuyền Milalux với thiết kế vỏ thép chắc chắn và tinh tế, tỉ mỉ. Với số lượng 20 cabin, du thuyền có thể phục vụ nhiều nhu cầu của từng nhóm du khách hoặc thuê trọn tàu để tổ chức sự kiện. Mỗi phòng đều có ban công riêng với đồ nội thất bằng gỗ tinh tế, sang trọng. Diện tích các hạng phòng từ 16-30m2 phù hợp với từng lựa chọn của du khách..<br><br>"
5,2,image,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/blog/p6w0vmgjwtjyz7ee.webp
5,3,paragraph,"Nhà hàng trên du thuyền Milalux được mở để phục vụ bạn những món ăn the set từ bữa sáng, trưa và cả bữa tối. Các món ăn là sự kết hợp giữa các món truyền thống Việt Nam và ẩm thực phương tây chắc chắn sẽ mang đến cho bạn những bữa ăn ngon miệng, hoàn hảo. Hòa mình vào không gian bếp ấm cúng, cảnh quan kì diệu của vịnh Hạ Long cùng với những món ăn ngon miệng chắc chắn sẽ mang đến cho bạn một trải nghiệm tuyệt vời. Nhà hàng cũng là nơi gắn kết tình cảm tuyệt vời cho những buổi tiệc gia đình, những sự kiện quan trọng"
5,4,image,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/blog/3346yj4rjxrqsd2a.webp
5,5,paragraph,"Trên tầng thượng của du thuyền là một boong tàu rộng rãi, là nơi lý tưởng nhất cho hoạt động tắm nắng và ngắm cảnh vịnh Hạ Long. Đây cũng là không gian hoàn hảo cho lớp thái cực quyền buổi sáng. Không khí mát mẻ, trong lành của vịnh là một điểm vô giá và rất khó để tìm thấy ở một nơi nào khác trong thời đại công nghiệp hóa này. Hãy cùng tận hưởng không khí trong lành và tập một bài thái cực quyền để nạp đầy năng lượng cho ngày mới. &nbsp;"
5,6,image,https://minio.fares.vn/mixivivu-dev/tour/pelican-halong-cruise1/blog/xhxkyzf78wje06p8.webp
6,1,paragraph,Du thuyền Paradise Elegance hứa hẹn đem tới những trải nghiệm ấn tượng khó quên cùng những chuyến du ngoạn làm hài lòng du khách.
6,2,image,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/blog/vopfepok9hj9p0za.jpg
6,3,paragraph,"Trên du thuyền Paradise Elegance, từ thứ 3 đến Chủ nhật, du khách sẽ được&nbsp;tận hưởng nhạc sống tại quầy bar Le Piano. Giữa những giai điệu bất hủ, thưởng thức một ly rượu vang hoặc cocktail hấp dẫn, chắc chắn sẽ là một kỷ niệm không thể nào quên."
6,4,image,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/blog/2vtxj4na8agey8wn.jpg
6,5,paragraph,"Với hành trình khám phá Vịnh Hạ Long, du khách sẽ tận hưởng những khoảng khắc vô cùng thư thái với các liệu trình spa ngay trên du thuyền. Trải nghiệm spa giữa lòng Di sản chắc chắn sẽ là điểm nhấn của hành trình này."
6,6,image,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/blog/l075rj0ju379d870.jpg
6,7,paragraph,"Nhà hàng nơi đây có không gian sang trọng, ẩm thực đa dạng theo phong cách kết hợp Á- Âu với đặc sản&nbsp;địa phương xuất sắc và&nbsp;những món Âu truyền thống với những&nbsp;nguyên liệu tươi sạch cùng cách chế biến hấp dẫn."
6,8,image,https://minio.fares.vn/mixivivu-dev/tour/paradise-elegance-cruise-halong/blog/cirjmjczhcldu6mg.jpg
6,9,paragraph,"Ngoài ra, du thuyền Paradise Elegance còn có các dịch vụ nổi bật khác như:&nbsp;dịch vụ quản gia, lớp dạy nấu ăn, hệ thống nước nóng, bể sục, tập thái cực quyền, chèo thuyền kayak,.."
6,10,paragraph,"Các hang động lớn nhỏ trên đảo, cũng như trên Vịnh Hạ Long là kho báu kỳ bí đang chờ du khách khám phá. Cùng trải nghiệm một thế giới diệu kì ẩn sau những dãy đá vôi và dòng nước trong xanh hình thành hàng triệu năm về trước."
7,1,paragraph,"Du thuyền Paradise Peak là du thuyền gỗ sang trọng thuộc đội tàu của tập đoàn Paradise Hạ Long. Với thiết kế theo phong cách cổ điển kết hợp tông màu gỗ nổi bật, du thuyền sẽ làm hài lòng những du khách yêu thích nội thất gỗ ấm áp. Các hạng phòng chính của du thuyền là: Junior Suite, Superior Suite và Premium Suite đều có diện tích rộng từ 38-42m2, ban công riêng, bồn sục Jacuzzi.&nbsp;"
7,2,image,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/blog/divbpaychaxhps5v.webp
7,3,paragraph,"Nhiều tiện ích trên tàu như: phòng Spa, phòng gym cũng luôn sẵn sàng phục vụ du khách. Bên cạnh đó, nhà hàng của du thuyền với những đầu bếp giàu kinh nghiệm sẽ chuẩn bị những bữa ăn tươi ngon từ nguồn thực phẩm của địa phương. Du khách có thể hoàn toàn yên tâm."
7,4,image,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/blog/fl4ufurlcjsru9wu.webp
7,5,paragraph,"Lịch trình của du thuyền sẽ đưa du khách khám phá vịnh Hạ Long qua những điểm du lịch nổi tiếng như: đảo Ti Tốp, hang Luồn...Bên cạnh những hoạt động trong lịch trình, du khách cũng có thể nghỉ ngơi và tham dự Happy Hour trên du thuyền diễn ra vào các buổi chiều và cùng ngắm hoàng hôn dần buông xuống trên boong tàu."
7,6,image,https://minio.fares.vn/mixivivu-dev/tour/paradise-peak-cruise/blog/iakvngho3z5h1inq.webp
8,1,paragraph,"Du thuyền Aspira hạ thủy mùa xuân năm 2020 với 22 cabin sang trọng, đầy đủ các thiết bị hiện đại nhất. Mỗi phòng đều có ban công riêng với cửa sổ lớn và phòng tắm riêng. Du khách sẽ có những trải nghiệm tuyệt vời, thư giãn cùng hồ bơi hình trái tim, phòng spa &amp; massage, phòng gym và bể sục Jacuzzi."
8,2,image,https://minio.fares.vn/mixivivu-dev/tour/aspira-cruises/blog/c0rp54i3x8wh5jpl.webp
8,3,paragraph,"Du thuyền Aspira sẽ đưa bạn đến những khu vực yên tĩnh hơn của vịnh với nhiều hoạt động trên tàu và ngoài khơi như chèo thuyền kayak, bơi lội, tắm nắng, đi xe đạp, chèo thuyền, tai-chi phiên, lớp học nấu ăn, vv..."
9,1,paragraph,"Du thuyền<b> La Pandora Cruise&nbsp;</b>đạt tiêu chuẩn 5 sao&nbsp;<b>&nbsp;</b>được thiết kế với nguyên liệu chủ yếu bằng gỗ và nội thất trong thuyền cũng bằng gỗ với gam màu trầm ấm, tạo cảm giác gần gũi, ấm cúng và thân thuộc với du khách nhưng cũng rất trang nhã và thanh lịch.&nbsp;&nbsp;"
9,2,image,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/blog/8r3n8qq6iduau7jf.webp
9,3,paragraph,"Du thuyền La Pandora mang đến trải nghiệm trên vịnh Lan Hạ cho những du khách mong muốn trải nghiệm vẻ đẹp thiên nhiên, thư giãn của di sản thế giới với dãy núi đá vôi, làn nước trong xanh cùng những giây phút khó quên."
9,4,image,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/blog/lq6mh5gasjbvgsso.webp
9,5,paragraph,"Hệ thống phòng nghỉ trên du thuyền được thiết kế tại tầng 1 và tầng 2,&nbsp;ngoài các phòng Double và Twin cơ bản thì còn có thêm phòng Panorama Suite, 6 loại phòng Family, các phòng thông nhau và đều có ban công riêng. Cửa kính trên du thuyền thiết kế rất rộng chiếm gần hết diện tích vách gỗ ."
9,6,image,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/blog/hq8qxsxir4jlsw2b.webp
9,7,paragraph,"Nhà hàng rộng 120m2 ở tầng hai có khung cảnh sang trọng trong bầu không khí thân mật và ấm cúng, với các cửa sổ lớn toàn cảnh nhằm mục đích mang vẻ đẹp của vịnh Lan Hạ quyến rũ trong khi thưởng thức ẩm thực Việt Nam được chuẩn bị cẩn thận và trình bày theo hình thức nghệ thuật."
9,8,image,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/blog/mi815zfykcd2mdo3.webp
9,9,paragraph,"<br>Thả hồn theo sóng nước, lướt qua những núi đá vôi kỳ vĩ, tay nhâm nhi ly cocktail trên sundeck, ngắm chiều hoàng hôn buông cho đến khi cả một vùng vịnh trở nên lung linh với những đốm sáng từ hàng chục con thuyền neo đậu ở đây…<br>"
9,10,image,https://minio.fares.vn/mixivivu-dev/tour/La Pandora-Cruise/blog/oo2vqw2xdovwupwu.webp
