ship_id,block_id,data
1,1,Du thuyền được thiết kế với phong cách sang trọng và truyền thống
1,2,Phòng ngủ tiện nghi sang trọng mang phong cách Á Đông đều có  bồn tắm cạnh cửa kính lớn view vịnh
1,3,"Đặc biệt hơn, du thuyền thiết kế bể bơi 4 mùa to rộng là địa điểm checkin yêu thích của mọi du khách"
1,4,"Du thuyền có nhiều lịch trình  2 ngày 1 đêm, 3 ngày 2 đêm và  4 ngày 3 đêm cho những ai muốn 1 lịch trình dài hơn trên vịnh Lan Hạ"
2,1,Là một trong những du thuyền 5 sao mới và sang trọng nhất cho khách thăm quan Vịnh Lan Hạ.
2,2,"Du thuyền Indochine được trang bị hai nhà hàng, quầy bar, sundeck rộng rãi và cabin sang trọng"
2,3,"Tất cả các cabins được thiết kế và phù hợp với tới tiêu chuẩn quốc tế, làm nổi bật trang trí bằng gỗ, với cửa sổ  lớn"
2,4,"Quầy bar trên du thuyền cung cấp các loại rượu khai vị, rượu mạnh, cocktail, bia và các loại rượu vang hảo hạng được tuyển chọn từ khắp nơi trên thế giới."
3,1,"Du thuyền Le Theatre được thiết kế tinh với phong cách tối giản, tinh tế nhưng vẫn mang đậm phong cách hiện đại"
3,2,Thiết kế nhẹ nhàng tinh tế của phòng ngủ với đầy đủ các trang thiết bị hiện đại
3,3,"Du thuyền còn mang đến nhiều  hoạt động thể thao dưới nước, bao gồm chèo thuyền kayak, bơi lội và câu cá"
3,4,Cùng đắm mình vào phòng ăn sang trọng bậc nhất và thưởng thức những món ăn tuyệt hảo từ tay vị đầu bếp tài ba với du thuyền Le Theatre
4,1,Du thuyền Orchid Trendy là một trong nhữngdu thuyền 5 sao sang trọng hiện đại và mới nhất trên vịnh Hạ Long
4,2,"Cabin sang trọng rộng rãi với đầy đủ tiện nghi, tất cả các phòng đều có ban công riêng với tầm nhìn tuyệt đẹp ra Vịnh Hạ Long."
4,3,"Nhà hàng với không đẹp cũng là nơi quý khách có thể gặp gỡ du khách khắp thế giới, hay dùng cho hội thảo, hội nghị,"
