hotel_id,block_id,type,data
1,1,paragraph,"Khách sạn 5 sao Phát Linh tọa lạc tại đại lộ Marine - trái tim của thành phố biển Hạ Long xinh đẹp, khách sạn 5 sao Phát Linh với kiến trúc tòa tháp 25 tầng cùng nét đặc biệt trong thiết kế, các dịch vụ cao cấp và đội ngũ nhân viên chuyên nghiệp hứa hẹn sẽ mang lại cho quý khách hàng sự nghỉ dưỡng tuyệt vời nhất cho quý khách hàng.."
1,2,image,https://minio.fares.vn/mixivivu-dev/hotel/delasea-phat-linh-ha-long/blog/757qjwov2guki4wz.webp
1,3,paragraph,"Với vị đắt giá như trái tim của thành phố sầm uất Hạ Long, khách sạn 5 sao Phát Linh ở rất gần nhiều địa điểm du lịch nổi tiếng như : Bãi Cháy (700 mét), Cáp treo Nữ hoàng (gần 1 km) và trung tâm thương mại Vincom Plaza Hạ Long (4,4 km), Khu du lịch Tuần Châu (5 km).Sân bay gần nhất là sân bay quốc tế Cát Bi cách Phát Linh Hotel 36 km."
1,4,image,https://minio.fares.vn/mixivivu-dev/hotel/delasea-phat-linh-ha-long/blog/0rqjv514hrun4k4r.webp
1,5,paragraph,"Với tiêu chuẩn thiết kế và dịch vụ 5 sao, khách sạn Phát Linh Hotel đã đầu tư rất kì công vào cả không gian phòng nghỉ lẫn trang thiết bị bên trong. 326 phòng nghỉ được thiết kế theo tiêu chuẩn 5 sao quốc tế , mang phong cách tối giản, tinh tế, không gian mở nên tạo cảm giác vừa thoải mái vừa sang trọng cho khách lưu trú"
1,6,image,https://minio.fares.vn/mixivivu-dev/hotel/delasea-phat-linh-ha-long/blog/9ptmmcw5zb6tf7xs.webp
1,7,paragraph,Đến với Phát Linh là đến chốn bình yên để thỏa sức hòa mình vào khung cảnh thiên nhiên thơ mộng. Các phòng nghỉ tại đây có tầm nhìn hướng vịnh Hạ Long - Di sản thế giới UNESCO và toàn cảnh bao quát thành phố Hạ Long tuyệt mỹ.&nbsp;
1,8,image,https://minio.fares.vn/mixivivu-dev/hotel/delasea-phat-linh-ha-long/blog/j6kobaf7by3fd2qt.webp
2,1,paragraph,"Citadines Marina Halong toạ lạc tại tổ hợp du lịch đẳng cấp Hạ Long Marina, có sức hút với những khách hàng tìm kiếm lối sống sôi động và linh hoạt. Phong cách nghỉ dưỡng tại đây tập trung vào 4 khía cạnh: văn hóa, ẩm thực, sức khỏe và cộng đồng, giúp người trẻ hòa nhập và khám phá môi trường mới dễ dàng hơn.&nbsp;"
2,2,image,https://minio.fares.vn/mixivivu-dev/hotel/citadines-marina-halong/blog/jhdx2ljpfwpfih86.webp
2,3,paragraph,"Citadines Marina Halong có 580 căn hộ dịch vụ và khách sạn bao gồm hạng phòng studio đến căn hai và ba phòng ngủ. Không chỉ đa dạng các loại hình căn hộ, Citadines Marina Halong còn có nhiều tiện ích như: 2 bể bơi bốn mùa, hệ thống nhà hàng, spa, phòng tập gym, khu vui chơi và rooftop skybar và chỉ cách trung tâm thành phố Hạ Long khoảng 10 phút bằng xe hơi."
2,4,image,https://minio.fares.vn/mixivivu-dev/hotel/citadines-marina-halong/blog/ytghlv03x7yzqdob.webp
2,5,paragraph,"Ngắm nhìn phong cảnh hùng vĩ của vịnh Hạ Long sẽ là một trải nghiêm khó quên đối với du khách khi lựa chọn nghỉ dưỡng tại Citadines Marina Halong. Sở hữu vị trí trung tâm và tọa lạc ngay gần con đường đi bộ uốn lượn cạnh bờ biển của thành phố trong lành nhất Việt Nam, đây là căn hộ khách sạn hoàn hảo để bạn thỏa sức khám phá địa danh Di sản Thế giới đã được UNESCO công nhận.&nbsp;"
2,6,image,https://minio.fares.vn/mixivivu-dev/hotel/citadines-marina-halong/blog/4jh3y3y0nndzab1s.webp
2,7,paragraph,"Những du khách ưa phiêu lưu có thể tận hưởng trọn vẹn thành phố bằng chuyến du ngoạn bằng thuyền qua 1.600 hòn đảo lớn nhỏ khác nhau, len lỏi giữa các đỉnh núi đã bằng thuyền kayak hoặc đơn giản là thư giãn bên hồ bơi, thưởng thức các món ăn ngon nổi tiếng thế giới của Việt Nam và tản bộ dọc theo vách đá vôi, một biểu tượng đặc trưng của thành phố vịnh."
2,8,image,https://minio.fares.vn/mixivivu-dev/hotel/citadines-marina-halong/blog/cewf5o0oac4m38ni.webp
